Disease,Treatment,Tablet Name,Dosage,Time Taken,Effect Time Duration,Which Age,Company,Purity,Side Effects,Price
Osteoporosis,Bisphosphonate Therapy,Alendronate,200 mg,Once weekly,4 hours,0-12,Horizon Meds,99.6%,"Diarrhea, Blurred vision",₹34.54
Type 2 Diabetes,Oral Hypoglycemic Therapy,Glimepiride,250 mg,After meals,4 hours,36-50,Horizon Meds,97.4%,"Headache, Nausea",₹512.57
Allergy,Antihistamine Therapy,Levocetirizine,750 mg,Twice daily - Morning & Night,6 hours,36-50,Zenith Biocare,99.6%,"Constipation, Drowsiness",₹668.57
Urinary Tract Infection,Antibiotic Therapy,Ciprofloxacin,100 mg,Once daily - Night,4 hours,51-65,PurePath Pharma,96.5%,Loss of appetite,₹316.79
Type 2 Diabetes,Oral Hypoglycemic Therapy,Sitagliptin,250 mg,Twice daily - Morning & Night,18 hours,36-50,Silver Cross Pharma,95.7%,"Dizziness, Stomach upset",₹271.95
Depression,Antidepressant Therapy,Sertraline,250 mg,Thrice daily - After meals,2 hours,0-12,MedLife Labs,98.5%,"Diarrhea, Nausea",₹521.23
Asthma,Steroid Inhalation,Montelukast,500 mg,Once daily - Morning,12 hours,13-18,TrueMed Industries,98.0%,Constipation,₹159.56
Insomnia,Sedative Therapy,Zolpidem,500 mg,As needed (SOS),6 hours,13-18,Nova Health,96.7%,None reported,₹18.40
Bacterial Infection,Antibiotic Therapy,Ciprofloxacin,100 mg,Thrice daily - After meals,2 hours,13-18,Greenfield Biotech,97.1%,"Dry mouth, Blurred vision",₹688.71
Bacterial Infection,Antibiotic Therapy,Doxycycline,10 mg,Once weekly,2 hours,65+,Sunrise Pharma,98.4%,"Dry mouth, Fatigue, Dizziness",₹10.62
Bacterial Infection,Antibiotic Therapy,Ciprofloxacin,1000 mg,Twice daily - Morning & Night,10 hours,36-50,Zenith Biocare,95.8%,"Fatigue, Loss of appetite, Blurred vision",₹804.44
Vitamin D Deficiency,Supplementation,Cholecalciferol,50 mg,Thrice daily - After meals,12 hours,65+,Vitacore Pharmaceuticals,95.8%,"Dizziness, Drowsiness, Diarrhea",₹10.02
Arthritis,NSAID Therapy,Ibuprofen,250 mg,Once daily - Night,4 hours,36-50,Cygnus Life Sciences,98.2%,"Headache, Fatigue, Constipation",₹12.86
Insomnia,Sedative Therapy,Zolpidem,10 mg,Once daily - Morning,24 hours,36-50,MedLife Labs,95.3%,"Drowsiness, Nausea",₹588.28
Allergy,Antihistamine Therapy,Levocetirizine,25 mg,Once daily - Morning,8 hours,19-35,Horizon Meds,98.7%,"Blurred vision, None reported",₹118.35
Type 2 Diabetes,Oral Hypoglycemic Therapy,Glimepiride,1000 mg,Every 8 hours,8 hours,13-18,Sunrise Pharma,96.5%,Insomnia,₹252.35
Urinary Tract Infection,Antibiotic Therapy,Ciprofloxacin,650 mg,Thrice daily - After meals,18 hours,36-50,Sunrise Pharma,96.9%,"Nausea, Insomnia",₹492.53
Asthma,Steroid Inhalation,Montelukast,300 mg,As needed (SOS),10 hours,0-12,Horizon Meds,98.2%,Dizziness,₹158.83
Diarrhea,Antimotility / Rehydration Therapy,Racecadotril,1000 mg,Twice daily - Morning & Night,2 hours,36-50,Horizon Meds,98.1%,"Insomnia, Drowsiness",₹254.00
Bacterial Infection,Antibiotic Therapy,Ciprofloxacin,300 mg,As needed (SOS),10 hours,0-12,PurePath Pharma,99.4%,"Dry mouth, Dizziness",₹663.96
Headache,Analgesic Therapy,Naproxen,5 mg,Once weekly,18 hours,13-18,Nova Health,96.7%,Diarrhea,₹268.76
Asthma,Bronchodilator Therapy,Salbutamol,250 mg,Once weekly,4 hours,19-35,Vitacore Pharmaceuticals,99.6%,None reported,₹636.81
Urinary Tract Infection,Antibiotic Therapy,Amoxicillin,2.5 mg,After meals,4 hours,65+,Greenfield Biotech,99.8%,"Drowsiness, Dry mouth",₹720.91
Common Cold,Antihistamine Therapy,Cetrizine,2.5 mg,Every 8 hours,18 hours,51-65,Sunrise Pharma,95.9%,Dizziness,₹383.56
Diarrhea,Antimotility / Rehydration Therapy,Loperamide,50 mg,Once weekly,10 hours,19-35,PurePath Pharma,97.9%,"Stomach upset, Nausea, Constipation",₹849.53
Allergy,Antihistamine Therapy,Loratadine,500 mg,Before meals,6 hours,51-65,TrueMed Industries,98.0%,"Dry mouth, Loss of appetite",₹297.62
Iron Deficiency Anemia,Supplementation,Ferrous Ascorbate,1000 mg,Every 6 hours,4 hours,0-12,Wellspring Rx,98.9%,"Insomnia, Blurred vision, Drowsiness",₹786.72
Bacterial Infection,Antibiotic Therapy,Amoxicillin,100 mg,Every 8 hours,2 hours,19-35,Sunrise Pharma,95.8%,"Loss of appetite, Drowsiness",₹643.70
Headache,Analgesic Therapy,Naproxen,100 mg,As needed (SOS),6 hours,0-12,TrueMed Industries,95.6%,"Mild rash, Headache",₹35.49
Vitamin D Deficiency,Supplementation,Cholecalciferol,50 mg,Every 6 hours,2 hours,36-50,Cygnus Life Sciences,99.2%,"Drowsiness, Nausea",₹277.06
Insomnia,Sedative Therapy,Melatonin,250 mg,Thrice daily - After meals,18 hours,13-18,Wellspring Rx,97.1%,"Blurred vision, Headache, Drowsiness",₹235.13
Fever,Antipyretic Therapy,Aspirin,5 mg,Twice daily - Morning & Night,10 hours,19-35,MedLife Labs,98.7%,"Dizziness, Diarrhea",₹624.23
Insomnia,Sedative Therapy,Zolpidem,50 mg,Once weekly,12 hours,13-18,Vitacore Pharmaceuticals,96.4%,Headache,₹209.78
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,300 mg,Once weekly,10 hours,0-12,MedLife Labs,98.6%,Diarrhea,₹617.87
Arthritis,NSAID Therapy,Ibuprofen,10 mg,Every 8 hours,18 hours,0-12,Sunrise Pharma,97.1%,"Drowsiness, Dry mouth",₹626.35
Acidity / GERD,Proton Pump Inhibitor,Omeprazole,5 mg,Once daily - Night,6 hours,36-50,Sunrise Pharma,97.2%,"Insomnia, Fatigue",₹26.84
Migraine,Analgesic Therapy,Rizatriptan,150 mg,Once daily - Night,4 hours,13-18,PurePath Pharma,99.7%,"Diarrhea, Mild rash",₹104.48
Common Cold,Antihistamine Therapy,Chlorpheniramine,300 mg,Every 6 hours,10 hours,19-35,Silver Cross Pharma,95.3%,Blurred vision,₹10.76
Bacterial Infection,Antibiotic Therapy,Ciprofloxacin,1000 mg,Once weekly,12 hours,19-35,TrueMed Industries,99.6%,"Fatigue, Nausea, Headache",₹61.18
High Cholesterol,Statin Therapy,Simvastatin,250 mg,Thrice daily - After meals,4 hours,19-35,PurePath Pharma,98.3%,"Drowsiness, Insomnia",₹373.96
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,150 mg,Twice daily - Morning & Night,24 hours,0-12,TrueMed Industries,98.6%,"Blurred vision, Drowsiness, Insomnia",₹301.49
Bacterial Infection,Antibiotic Therapy,Amoxicillin,650 mg,Thrice daily - After meals,12 hours,0-12,Nova Health,97.8%,Mild rash,₹629.50
Cough & Cold,Antitussive Therapy,Ambroxol,5 mg,Every 8 hours,12 hours,0-12,PurePath Pharma,99.9%,Constipation,₹489.42
Asthma,Bronchodilator Therapy,Salbutamol,1000 mg,Every 8 hours,18 hours,36-50,PurePath Pharma,98.5%,"Insomnia, Stomach upset",₹105.19
Acidity / GERD,Antacid Therapy,Omeprazole,10 mg,After meals,24 hours,0-12,Vitacore Pharmaceuticals,97.4%,Dry mouth,₹436.53
Fever,Antipyretic Therapy,Paracetamol,300 mg,After meals,6 hours,19-35,PurePath Pharma,96.6%,"Nausea, Mild rash, Blurred vision",₹667.17
Allergy,Antihistamine Therapy,Cetrizine,150 mg,Once daily - Night,12 hours,0-12,Silver Cross Pharma,97.4%,"Stomach upset, Fatigue",₹404.62
Chronic Pain,Analgesic Therapy,Tramadol,10 mg,Every 8 hours,6 hours,0-12,Cygnus Life Sciences,96.5%,"Diarrhea, Insomnia",₹337.91
Type 2 Diabetes,Oral Hypoglycemic Therapy,Glimepiride,50 mg,Every 6 hours,8 hours,51-65,Vitacore Pharmaceuticals,99.2%,"Dizziness, Blurred vision",₹684.67
Asthma,Bronchodilator Therapy,Montelukast,10 mg,Before meals,24 hours,19-35,Nova Health,97.2%,"Dry mouth, Constipation",₹320.03
Skin Infection (Fungal),Antifungal Therapy,Fluconazole,500 mg,Once weekly,18 hours,65+,TrueMed Industries,97.1%,"Fatigue, None reported",₹647.16
Diarrhea,Antimotility / Rehydration Therapy,ORS Combo,2.5 mg,Once weekly,10 hours,13-18,MedLife Labs,96.8%,Dizziness,₹77.23
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,500 mg,Every 6 hours,2 hours,51-65,Greenfield Biotech,98.2%,"Headache, None reported, Blurred vision",₹454.61
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,5 mg,As needed (SOS),10 hours,51-65,Cygnus Life Sciences,97.6%,Fatigue,₹179.24
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,250 mg,Once daily - Night,24 hours,51-65,MedLife Labs,99.0%,"Insomnia, Diarrhea, None reported",₹343.28
Asthma,Bronchodilator Therapy,Budesonide,100 mg,Thrice daily - After meals,2 hours,13-18,MedLife Labs,98.0%,Fatigue,₹52.45
Cough & Cold,Antitussive Therapy,Ambroxol,25 mg,Every 6 hours,12 hours,51-65,Greenfield Biotech,98.0%,"Dizziness, Fatigue",₹247.38
High Cholesterol,Statin Therapy,Simvastatin,300 mg,Thrice daily - After meals,12 hours,13-18,TrueMed Industries,99.5%,Diarrhea,₹722.23
Diarrhea,Antimotility / Rehydration Therapy,Racecadotril,25 mg,Once daily - Morning,24 hours,19-35,Sunrise Pharma,98.6%,"Mild rash, Blurred vision, Nausea",₹542.47
Anxiety Disorder,Anxiolytic Therapy,Buspirone,200 mg,Every 8 hours,10 hours,36-50,Zenith Biocare,98.9%,"Loss of appetite, Dry mouth, Drowsiness",₹844.74
Headache,Analgesic Therapy,Naproxen,300 mg,Once weekly,10 hours,0-12,Zenith Biocare,97.1%,"None reported, Mild rash, Blurred vision",₹416.11
Vitamin D Deficiency,Supplementation,Cholecalciferol,2.5 mg,Before meals,18 hours,51-65,TrueMed Industries,95.9%,Insomnia,₹358.38
Iron Deficiency Anemia,Supplementation,Ferrous Ascorbate,25 mg,Thrice daily - After meals,12 hours,65+,MedLife Labs,98.2%,"Diarrhea, Headache, Stomach upset",₹229.76
Vitamin D Deficiency,Supplementation,Cholecalciferol,750 mg,Once daily - Night,2 hours,51-65,MedLife Labs,95.8%,"Insomnia, Headache, Loss of appetite",₹385.96
Cough & Cold,Antitussive Therapy,Ambroxol,5 mg,Every 8 hours,10 hours,65+,Vitacore Pharmaceuticals,98.0%,"Fatigue, Dry mouth",₹621.60
Bacterial Infection,Antibiotic Therapy,Doxycycline,5 mg,As needed (SOS),10 hours,65+,Greenfield Biotech,97.8%,"Constipation, Fatigue, Diarrhea",₹221.23
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,500 mg,Once daily - Night,24 hours,19-35,Cygnus Life Sciences,98.5%,"Insomnia, Fatigue, None reported",₹228.02
Type 2 Diabetes,Oral Hypoglycemic Therapy,Sitagliptin,2.5 mg,Every 8 hours,18 hours,51-65,Cygnus Life Sciences,97.8%,Dry mouth,₹810.40
Skin Infection (Fungal),Antifungal Therapy,Terbinafine,50 mg,As needed (SOS),10 hours,13-18,PurePath Pharma,97.8%,"Diarrhea, Dizziness",₹646.43
Insomnia,Sedative Therapy,Zolpidem,200 mg,Once daily - Morning,10 hours,65+,PurePath Pharma,97.0%,"Drowsiness, Headache",₹221.33
Arthritis,NSAID Therapy,Diclofenac,2.5 mg,Thrice daily - After meals,10 hours,36-50,Silver Cross Pharma,97.5%,"Loss of appetite, Insomnia, Mild rash",₹313.35
Bacterial Infection,Antibiotic Therapy,Doxycycline,150 mg,Every 6 hours,2 hours,36-50,Vitacore Pharmaceuticals,98.8%,"Nausea, Headache",₹396.97
High Cholesterol,Statin Therapy,Rosuvastatin,100 mg,Once daily - Night,12 hours,13-18,Zenith Biocare,96.3%,"Constipation, Insomnia",₹759.71
Acidity / GERD,Proton Pump Inhibitor,Omeprazole,5 mg,Every 8 hours,24 hours,36-50,Zenith Biocare,98.2%,"Dry mouth, Loss of appetite, None reported",₹846.61
Peptic Ulcer,Proton Pump Inhibitor,Pantoprazole,150 mg,Once weekly,12 hours,36-50,MedLife Labs,96.2%,Nausea,₹122.09
Fever,Antipyretic Therapy,Paracetamol,750 mg,Twice daily - Morning & Night,4 hours,13-18,Sunrise Pharma,96.6%,"Dizziness, Mild rash",₹348.91
Osteoporosis,Bisphosphonate Therapy,Alendronate,250 mg,Twice daily - Morning & Night,12 hours,51-65,Wellspring Rx,96.4%,"Fatigue, Nausea",₹758.64
Cough & Cold,Antitussive Therapy,Dextromethorphan,650 mg,Once daily - Morning,6 hours,65+,Horizon Meds,98.5%,"Drowsiness, Nausea, Mild rash",₹622.05
Depression,Antidepressant Therapy,Escitalopram,250 mg,Before meals,2 hours,0-12,Greenfield Biotech,96.3%,Nausea,₹576.64
Hypertension,ACE Inhibitor Therapy,Amlodipine,10 mg,Once daily - Night,2 hours,36-50,MedLife Labs,97.2%,Mild rash,₹222.83
Acidity / GERD,Proton Pump Inhibitor,Ranitidine,10 mg,Thrice daily - After meals,18 hours,0-12,Wellspring Rx,98.2%,"Blurred vision, Loss of appetite",₹767.02
Bacterial Infection,Antibiotic Therapy,Azithromycin,200 mg,Twice daily - Morning & Night,12 hours,0-12,Vitacore Pharmaceuticals,97.4%,"Loss of appetite, Nausea",₹151.12
Cough & Cold,Antitussive Therapy,Levocetirizine Combo,10 mg,Once weekly,18 hours,0-12,TrueMed Industries,96.9%,"Diarrhea, Mild rash, Loss of appetite",₹39.21
Headache,Analgesic Therapy,Naproxen,150 mg,Every 8 hours,6 hours,0-12,Cygnus Life Sciences,95.6%,Dizziness,₹50.75
Insomnia,Sedative Therapy,Zolpidem,250 mg,Every 6 hours,8 hours,51-65,Vitacore Pharmaceuticals,99.5%,"Headache, Dry mouth",₹723.02
Cough & Cold,Antitussive Therapy,Dextromethorphan,10 mg,Once daily - Morning,2 hours,36-50,Greenfield Biotech,96.1%,"None reported, Insomnia",₹492.09
Acidity / GERD,Antacid Therapy,Ranitidine,300 mg,Before meals,6 hours,65+,Zenith Biocare,97.7%,"Drowsiness, Nausea",₹196.59
Asthma,Steroid Inhalation,Montelukast,650 mg,As needed (SOS),10 hours,19-35,MedLife Labs,97.5%,Dry mouth,₹47.83
Type 2 Diabetes,Oral Hypoglycemic Therapy,Sitagliptin,500 mg,Once weekly,24 hours,0-12,Sunrise Pharma,98.6%,Diarrhea,₹112.88
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,50 mg,Once daily - Morning,24 hours,51-65,MedLife Labs,97.9%,"Constipation, Nausea",₹370.73
Vitamin D Deficiency,Supplementation,Cholecalciferol,500 mg,Once weekly,2 hours,19-35,Sunrise Pharma,97.1%,"Mild rash, Insomnia, Fatigue",₹806.80
Insomnia,Sedative Therapy,Melatonin,250 mg,Once weekly,12 hours,19-35,TrueMed Industries,97.8%,Loss of appetite,₹767.43
Migraine,Analgesic Therapy,Rizatriptan,150 mg,Before meals,4 hours,13-18,Cygnus Life Sciences,99.8%,None reported,₹426.55
Headache,Analgesic Therapy,Ibuprofen,25 mg,After meals,4 hours,19-35,Horizon Meds,96.5%,"Mild rash, Dry mouth",₹450.44
Insomnia,Sedative Therapy,Zolpidem,300 mg,Once weekly,2 hours,0-12,Zenith Biocare,98.6%,"Mild rash, None reported",₹386.54
Vitamin D Deficiency,Supplementation,Cholecalciferol,50 mg,Twice daily - Morning & Night,18 hours,36-50,Vitacore Pharmaceuticals,99.1%,"Fatigue, Stomach upset",₹652.34
Acidity / GERD,Proton Pump Inhibitor,Omeprazole,200 mg,Thrice daily - After meals,18 hours,51-65,PurePath Pharma,95.5%,"Loss of appetite, Dry mouth",₹306.48
Depression,Antidepressant Therapy,Escitalopram,150 mg,Once daily - Night,2 hours,51-65,Nova Health,96.1%,"Constipation, Nausea",₹342.83
Migraine,Analgesic Therapy,Sumatriptan,100 mg,Before meals,4 hours,0-12,Sunrise Pharma,99.5%,"Constipation, Stomach upset, Diarrhea",₹737.76
Diarrhea,Antimotility / Rehydration Therapy,Racecadotril,5 mg,Once daily - Morning,12 hours,13-18,Horizon Meds,95.9%,"Insomnia, Nausea",₹517.74
Cough & Cold,Antitussive Therapy,Levocetirizine Combo,25 mg,Thrice daily - After meals,24 hours,51-65,Horizon Meds,98.2%,"Constipation, Diarrhea, Mild rash",₹41.42
Common Cold,Rest & Hydration,Cetrizine,5 mg,Twice daily - Morning & Night,18 hours,51-65,Horizon Meds,96.2%,"Stomach upset, Blurred vision, Dry mouth",₹737.05
Cough & Cold,Antitussive Therapy,Dextromethorphan,750 mg,As needed (SOS),2 hours,13-18,Cygnus Life Sciences,98.3%,Diarrhea,₹267.47
Hypertension,Diuretic Therapy,Losartan,150 mg,Once daily - Night,12 hours,51-65,Silver Cross Pharma,98.2%,"Diarrhea, Insomnia, Loss of appetite",₹321.48
Allergy,Antihistamine Therapy,Cetrizine,1000 mg,Twice daily - Morning & Night,12 hours,19-35,MedLife Labs,95.2%,Drowsiness,₹797.64
Osteoporosis,Supplementation,Alendronate,500 mg,Every 8 hours,12 hours,65+,Silver Cross Pharma,98.7%,"Mild rash, Drowsiness",₹242.01
Hypertension,Diuretic Therapy,Losartan,5 mg,As needed (SOS),4 hours,51-65,Zenith Biocare,95.8%,"Nausea, Insomnia",₹45.14
Asthma,Bronchodilator Therapy,Salbutamol,50 mg,Every 8 hours,4 hours,0-12,Silver Cross Pharma,96.7%,Drowsiness,₹307.74
Vitamin D Deficiency,Supplementation,Cholecalciferol,50 mg,Every 8 hours,6 hours,19-35,Vitacore Pharmaceuticals,95.2%,"None reported, Constipation, Stomach upset",₹476.41
Fever,Antipyretic Therapy,Ibuprofen,25 mg,Every 6 hours,2 hours,13-18,Silver Cross Pharma,98.3%,"Insomnia, Headache",₹610.60
Asthma,Steroid Inhalation,Montelukast,5 mg,Once daily - Morning,18 hours,65+,Nova Health,96.6%,None reported,₹124.30
Diarrhea,Antimotility / Rehydration Therapy,ORS Combo,200 mg,As needed (SOS),24 hours,65+,Cygnus Life Sciences,99.4%,"Loss of appetite, Constipation",₹699.85
Type 2 Diabetes,Oral Hypoglycemic Therapy,Metformin,2.5 mg,Once daily - Night,18 hours,13-18,Horizon Meds,99.0%,"Drowsiness, None reported, Stomach upset",₹694.18
High Cholesterol,Statin Therapy,Atorvastatin,50 mg,Once weekly,4 hours,13-18,PurePath Pharma,96.2%,Constipation,₹195.90
Skin Infection (Fungal),Antifungal Therapy,Terbinafine,100 mg,Once daily - Morning,8 hours,0-12,Nova Health,97.3%,Fatigue,₹513.86
Common Cold,Symptomatic Relief,Phenylephrine Combo,100 mg,Twice daily - Morning & Night,2 hours,36-50,Silver Cross Pharma,97.2%,"Insomnia, Blurred vision",₹75.07
Common Cold,Rest & Hydration,Paracetamol,1000 mg,After meals,18 hours,51-65,Vitacore Pharmaceuticals,98.2%,"Nausea, Fatigue",₹29.60
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,500 mg,Once weekly,10 hours,13-18,Wellspring Rx,99.8%,"None reported, Loss of appetite",₹88.62
Common Cold,Symptomatic Relief,Paracetamol,1000 mg,Once weekly,2 hours,19-35,Greenfield Biotech,97.8%,Insomnia,₹344.89
Depression,Antidepressant Therapy,Fluoxetine,100 mg,As needed (SOS),2 hours,13-18,Vitacore Pharmaceuticals,95.6%,"Headache, Stomach upset, Insomnia",₹64.59
Hypertension,Beta Blocker Therapy,Amlodipine,150 mg,As needed (SOS),4 hours,36-50,Wellspring Rx,98.1%,Fatigue,₹139.17
Headache,Analgesic Therapy,Naproxen,100 mg,Every 8 hours,6 hours,65+,Horizon Meds,96.5%,"Dizziness, Loss of appetite",₹180.87
Cough & Cold,Antitussive Therapy,Levocetirizine Combo,250 mg,Every 8 hours,24 hours,65+,PurePath Pharma,99.3%,Headache,₹762.12
Common Cold,Antihistamine Therapy,Paracetamol,1000 mg,Thrice daily - After meals,2 hours,36-50,Cygnus Life Sciences,96.1%,"Drowsiness, Fatigue",₹252.05
Depression,Antidepressant Therapy,Escitalopram,100 mg,Twice daily - Morning & Night,12 hours,65+,Silver Cross Pharma,95.6%,"Mild rash, Dry mouth, Nausea",₹829.96
Bacterial Infection,Antibiotic Therapy,Azithromycin,1000 mg,Once daily - Morning,18 hours,19-35,Greenfield Biotech,96.2%,"Fatigue, Stomach upset, Blurred vision",₹593.50
Insomnia,Sedative Therapy,Doxylamine,150 mg,After meals,10 hours,19-35,MedLife Labs,95.8%,"Mild rash, Dizziness",₹824.48
High Cholesterol,Statin Therapy,Simvastatin,1000 mg,After meals,8 hours,36-50,MedLife Labs,99.3%,Fatigue,₹9.21
High Cholesterol,Statin Therapy,Atorvastatin,300 mg,After meals,12 hours,65+,Zenith Biocare,96.8%,"Insomnia, Constipation, Loss of appetite",₹630.53
Allergy,Antihistamine Therapy,Cetrizine,750 mg,Every 6 hours,2 hours,65+,Zenith Biocare,99.1%,"Fatigue, Diarrhea",₹393.05
Skin Infection (Fungal),Antifungal Therapy,Terbinafine,100 mg,Thrice daily - After meals,18 hours,19-35,Greenfield Biotech,98.6%,Loss of appetite,₹242.74
Hypertension,Diuretic Therapy,Hydrochlorothiazide,10 mg,Before meals,12 hours,13-18,Greenfield Biotech,96.0%,Blurred vision,₹15.33
Migraine,Triptan Therapy,Paracetamol,1000 mg,Once weekly,18 hours,13-18,Sunrise Pharma,97.1%,Stomach upset,₹656.13
Anxiety Disorder,Anxiolytic Therapy,Alprazolam,50 mg,As needed (SOS),18 hours,19-35,Sunrise Pharma,95.1%,"Loss of appetite, Stomach upset",₹211.10
Iron Deficiency Anemia,Supplementation,Ferrous Ascorbate,200 mg,Every 6 hours,12 hours,13-18,TrueMed Industries,97.0%,"Nausea, Diarrhea",₹726.82
High Cholesterol,Statin Therapy,Atorvastatin,650 mg,As needed (SOS),2 hours,13-18,Nova Health,96.0%,"None reported, Diarrhea",₹13.21
Asthma,Bronchodilator Therapy,Budesonide,2.5 mg,As needed (SOS),6 hours,0-12,Wellspring Rx,95.5%,"Insomnia, Loss of appetite",₹489.22
Vitamin D Deficiency,Supplementation,Cholecalciferol,10 mg,Every 8 hours,12 hours,36-50,PurePath Pharma,95.3%,Insomnia,₹467.17
Anxiety Disorder,Anxiolytic Therapy,Alprazolam,500 mg,Once daily - Morning,10 hours,0-12,Horizon Meds,98.1%,"Dizziness, Drowsiness, Headache",₹346.04
Insomnia,Sedative Therapy,Doxylamine,750 mg,Once weekly,6 hours,36-50,Cygnus Life Sciences,99.8%,Loss of appetite,₹540.86
Headache,Analgesic Therapy,Paracetamol,650 mg,Twice daily - Morning & Night,2 hours,65+,Sunrise Pharma,99.4%,"None reported, Drowsiness",₹136.73
Arthritis,NSAID Therapy,Diclofenac,650 mg,Once daily - Morning,8 hours,36-50,Cygnus Life Sciences,97.2%,"Constipation, Headache",₹608.93
Osteoporosis,Bisphosphonate Therapy,Alendronate,150 mg,Before meals,12 hours,65+,PurePath Pharma,98.1%,"Blurred vision, Dry mouth, Nausea",₹529.90
Peptic Ulcer,Proton Pump Inhibitor,Pantoprazole,5 mg,After meals,4 hours,36-50,MedLife Labs,95.1%,"Stomach upset, Blurred vision, Nausea",₹481.64
Depression,Antidepressant Therapy,Fluoxetine,100 mg,Thrice daily - After meals,12 hours,0-12,Cygnus Life Sciences,97.9%,"Dry mouth, Constipation, Diarrhea",₹316.31
Skin Infection (Fungal),Antifungal Therapy,Clotrimazole,300 mg,Once weekly,18 hours,36-50,Silver Cross Pharma,96.3%,Diarrhea,₹411.44
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,25 mg,Once daily - Night,2 hours,0-12,MedLife Labs,95.4%,"None reported, Stomach upset",₹748.01
Skin Infection (Fungal),Antifungal Therapy,Clotrimazole,650 mg,Once daily - Night,4 hours,13-18,TrueMed Industries,99.0%,Blurred vision,₹821.40
Arthritis,NSAID Therapy,Ibuprofen,2.5 mg,Twice daily - Morning & Night,2 hours,13-18,MedLife Labs,98.0%,"Drowsiness, None reported",₹759.74
Allergy,Antihistamine Therapy,Cetrizine,50 mg,Before meals,24 hours,65+,Silver Cross Pharma,95.8%,"Dry mouth, Constipation, Nausea",₹539.07
Cough & Cold,Antitussive Therapy,Levocetirizine Combo,10 mg,Every 8 hours,8 hours,0-12,Nova Health,95.3%,Dizziness,₹702.46
Hypertension,Diuretic Therapy,Losartan,1000 mg,Once weekly,6 hours,65+,Vitacore Pharmaceuticals,99.4%,Nausea,₹442.67
Iron Deficiency Anemia,Supplementation,Ferrous Ascorbate,150 mg,Before meals,10 hours,13-18,Silver Cross Pharma,96.4%,"Headache, Constipation",₹433.46
Headache,Analgesic Therapy,Naproxen,200 mg,Once daily - Night,8 hours,65+,Zenith Biocare,97.1%,"Fatigue, Blurred vision",₹113.04
Osteoporosis,Supplementation,Alendronate,1000 mg,After meals,12 hours,51-65,Silver Cross Pharma,95.3%,"Diarrhea, Blurred vision, Dizziness",₹272.06
Osteoporosis,Supplementation,Alendronate,5 mg,After meals,4 hours,0-12,TrueMed Industries,97.9%,Dizziness,₹371.77
Fever,Antipyretic Therapy,Aspirin,200 mg,Before meals,10 hours,65+,Wellspring Rx,96.6%,Headache,₹463.64
Allergy,Antihistamine Therapy,Loratadine,10 mg,Once weekly,6 hours,65+,Zenith Biocare,98.7%,Dizziness,₹203.62
Acidity / GERD,Proton Pump Inhibitor,Ranitidine,10 mg,Thrice daily - After meals,2 hours,19-35,Zenith Biocare,97.0%,Nausea,₹847.29
Vitamin D Deficiency,Supplementation,Cholecalciferol,5 mg,Once daily - Morning,24 hours,13-18,TrueMed Industries,95.2%,"None reported, Headache, Drowsiness",₹556.97
Fever,Antipyretic Therapy,Ibuprofen,200 mg,Once daily - Night,6 hours,0-12,Zenith Biocare,97.8%,"None reported, Loss of appetite",₹432.72
Common Cold,Rest & Hydration,Paracetamol,1000 mg,Once daily - Night,18 hours,36-50,PurePath Pharma,98.3%,"Nausea, Fatigue",₹31.79
Skin Infection (Fungal),Antifungal Therapy,Terbinafine,50 mg,Once weekly,24 hours,65+,Vitacore Pharmaceuticals,99.2%,"Constipation, Mild rash",₹279.66
Type 2 Diabetes,Oral Hypoglycemic Therapy,Glimepiride,1000 mg,Every 6 hours,12 hours,0-12,MedLife Labs,99.4%,"Loss of appetite, Drowsiness, Constipation",₹470.93
Type 2 Diabetes,Oral Hypoglycemic Therapy,Glimepiride,250 mg,Before meals,2 hours,0-12,Wellspring Rx,97.7%,"Drowsiness, None reported, Nausea",₹217.80
Peptic Ulcer,Proton Pump Inhibitor,Pantoprazole,150 mg,Thrice daily - After meals,8 hours,0-12,Vitacore Pharmaceuticals,95.3%,"Loss of appetite, Nausea",₹433.69
Diarrhea,Antimotility / Rehydration Therapy,Racecadotril,250 mg,Once weekly,18 hours,19-35,Vitacore Pharmaceuticals,99.7%,"Dizziness, Nausea",₹772.45
Common Cold,Symptomatic Relief,Cetrizine,1000 mg,Thrice daily - After meals,12 hours,19-35,Greenfield Biotech,97.0%,"Loss of appetite, Blurred vision, Stomach upset",₹185.74
Type 2 Diabetes,Oral Hypoglycemic Therapy,Metformin,100 mg,Once daily - Night,12 hours,65+,Sunrise Pharma,99.3%,Drowsiness,₹40.34
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,500 mg,As needed (SOS),2 hours,13-18,Horizon Meds,99.7%,Constipation,₹676.35
Vitamin D Deficiency,Supplementation,Cholecalciferol,500 mg,Before meals,24 hours,19-35,Horizon Meds,95.5%,"Headache, Fatigue",₹694.98
